typology,total_area_m2,avg_cost_per_m2,avg_carbon_per_m2
APT,70342511.02951671,186.0,3272.7
COM,42122254.59745994,486.43,2889.91
SFH,4157711.4547033045,407.87,1326.73
IND,2474085.0244935094,307.27,1241.04
EDU,376679.7306946476,360.38,1976.82
