typology,rebuild_strategy,material,total_new_material_tons,total_recycled_material_tons,cost_pre,cost_infl
COM,full_rebuild,plastics,98478.4755546069,2919623.7980413963,118174170.66552828,156974690.0340434
COM,partial_rebuild,cement,19271.476877305493,89142621.3521786,2505291.994049714,7824219.61218603
COM,partial_rebuild,steel,6882.6703133233905,89142621.3521786,5643789.65692518,10179469.393405294
COM,partial_rebuild,sand,30868.102979881423,89142621.3521786,555625.8536378656,709966.3685372728
COM,partial_rebuild,gravel,11471.117188872318,89142621.3521786,252364.578155191,321191.2812884249
COM,partial_rebuild,stone,9176.893751097856,89142621.3521786,513906.05006147985,651559.4563279477
COM,partial_rebuild,wood,734.1515000878283,89142621.3521786,286319.0850342531,408188.23404883256
COM,partial_rebuild,glass,550.6136250658712,89142621.3521786,633205.6688257519,1068741.0462528563
COM,partial_rebuild,aluminum,275.3068125329356,89142621.3521786,509317.60318593093,798114.4495329803
COM,partial_rebuild,gypsum,642.3825625768498,89142621.3521786,32119.128128842487,43039.63169264894
COM,partial_rebuild,plastics,183.53787502195706,89142621.3521786,220245.4500263485,292559.3727849996
COM,repair,cement,1258444.1741779572,184112416.56356418,163597742.64313447,510928334.71625054
COM,repair,steel,427064.5623972671,184112416.56356418,350192941.1657591,631628487.7855581
COM,repair,sand,2100789.8616662305,184112416.56356418,37814217.509992145,48318166.8183233
COM,repair,gravel,723936.4827562342,184112416.56356418,15926602.620637156,20270221.51717456
COM,repair,stone,574264.0859102928,184112416.56356418,32158788.810976397,40772750.09963079
COM,repair,wood,42361.56561179362,184112416.56356418,16521010.588599512,23553030.480157252
COM,repair,glass,31771.174208845216,184112416.56356418,36536850.340172,61667849.139368564
COM,repair,aluminum,15885.587104422608,184112416.56356418,29388336.143181823,46052317.01572114
COM,repair,gypsum,37066.36991031942,184112416.56356418,1853318.495515971,2483446.783991401
COM,repair,plastics,10590.391402948406,184112416.56356418,12708469.683538087,16881083.89629976
EDU,full_rebuild,cement,77298.59136066957,0.0,10048816.87688704,31383228.092431832
EDU,full_rebuild,steel,21802.166794034998,0.0,17877776.771108698,32245404.68837776
EDU,full_rebuild,sand,122884.94011183362,0.0,2211928.9220130057,2826353.6225721724
EDU,full_rebuild,gravel,43604.333588069996,0.0,959295.3389375401,1220921.34046596
EDU,full_rebuild,stone,33694.25777259954,0.0,1886878.4352655744,2392292.301854568
EDU,full_rebuild,wood,2378.4181957129085,0.0,927583.0963280344,1322400.5168163774
EDU,full_rebuild,glass,1585.6121304752726,0.0,1823453.9500465638,3077673.1452525044
EDU,full_rebuild,aluminum,991.0075815470456,0.0,1833364.025862034,2872930.9789048852
EDU,full_rebuild,gypsum,2576.619712022318,0.0,128830.98560111587,172633.52070549532
EDU,full_rebuild,plastics,594.6045489282271,0.0,713525.4587138728,947799.6509915942
EDU,partial_rebuild,cement,1168.3630586400207,4501982.253010258,151887.1976232027,474355.40180784836
EDU,partial_rebuild,steel,329.538298590775,4501982.253010258,270221.4048444355,487387.14361575624
EDU,partial_rebuild,sand,1857.3976829661865,4501982.253010258,33433.15829339136,42720.14670822229
EDU,partial_rebuild,gravel,659.07659718155,4501982.253010258,14499.6851379941,18454.1447210834
EDU,partial_rebuild,stone,509.28646145847057,4501982.253010258,28520.041841674352,36159.33876355141
EDU,partial_rebuild,wood,35.9496325735391,4501982.253010258,14020.356703680249,19987.99571088774
EDU,partial_rebuild,glass,23.96642171569273,4501982.253010258,27561.38497304664,46518.82455015959
EDU,partial_rebuild,aluminum,14.979013572307956,4501982.253010258,27711.17510876972,43424.16034612076
EDU,partial_rebuild,gypsum,38.94543528800068,4501982.253010258,1947.271764400034,2609.3441642960456
EDU,partial_rebuild,plastics,8.987408143384775,4501982.253010258,10784.88977206173,14325.92858055533
EDU,repair,cement,10285.543339316322,1362134.8528817242,1337120.6341111222,4175930.5957624274
EDU,repair,steel,2293.2733432055734,1362134.8528817242,1880484.1414285703,3391751.2746010427
EDU,repair,sand,16850.62226469301,1362134.8528817242,303311.20076447417,387564.31208793924
EDU,repair,gravel,5433.09369882051,1362134.8528817242,119528.06137405123,152126.6235669743
EDU,repair,stone,4005.9026280864487,1362134.8528817242,224330.54717284118,284419.0865941379
EDU,repair,wood,230.97671413748657,1362134.8528817242,90080.91851361975,128423.05306044251
EDU,repair,glass,153.9844760916577,1362134.8528817242,177082.14750540635,298883.8680939076
EDU,repair,aluminum,96.24029755728606,1362134.8528817242,178044.5504809792,279000.6226185723
EDU,repair,gypsum,250.22477364894377,1362134.8528817242,12511.238682447189,16765.05983447923
EDU,repair,plastics,57.74417853437164,1362134.8528817242,69293.01424124597,92044.2205837884
IND,full_rebuild,cement,352484.5656627835,1392368.9516348056,45822993.536161855,143108733.6590901
IND,full_rebuild,steel,152425.75812444687,1392368.9516348056,124989121.66204646,225437696.266057
IND,full_rebuild,sand,581123.2028494539,1392368.9516348056,10460217.651290167,13365833.66553744
IND,full_rebuild,gravel,200058.80753833658,1392368.9516348056,4401293.765843404,5601646.611073423
IND,full_rebuild,stone,142899.14824166894,1392368.9516348056,8002352.3015334625,10145839.525158497
IND,full_rebuild,wood,15242.575812444691,1392368.9516348056,5944604.56685343,8474872.15171925
IND,full_rebuild,glass,9526.60988277793,1392368.9516348056,10955601.365194624,18491149.782471966
IND,full_rebuild,aluminum,7621.287906222346,1392368.9516348056,14099382.626511341,22094113.64013858
IND,full_rebuild,gypsum,11431.93185933352,1392368.9516348056,571596.592966676,765939.4345753457
IND,full_rebuild,plastics,3810.643953111173,1392368.9516348056,4572772.743733408,6074166.4612592105
IND,partial_rebuild,cement,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,steel,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,sand,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,gravel,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,stone,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,wood,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,glass,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,aluminum,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,gypsum,0.0,8022438.056380376,0.0,0.0
IND,partial_rebuild,plastics,0.0,8022438.056380376,0.0,0.0
IND,repair,cement,34879.74963326537,14208174.70790969,4534367.452324498,14161178.35110574
IND,repair,steel,14554.180750634141,14208174.70790969,11934428.215519996,21525633.330187894
IND,repair,sand,63312.09224114208,14208174.70790969,1139617.6603405573,1456178.1215462678
IND,repair,gravel,19135.22066568933,14208174.70790969,420974.8546451652,535786.1786393011
IND,repair,stone,13644.544453719507,14208174.70790969,764094.4894082925,968762.656214085
IND,repair,wood,1455.418075063414,14208174.70790969,567613.0492747314,809212.4497352582
IND,repair,glass,909.6362969146338,14208174.70790969,1046081.741451829,1765604.0523113043
IND,repair,aluminum,727.709037531707,14208174.70790969,1346261.7194336583,2109628.499804419
IND,repair,gypsum,1091.5635562975606,14208174.70790969,54578.17781487803,73134.75827193656
IND,repair,plastics,363.8545187658535,14208174.70790969,436625.4225190242,579984.1029127706
SFH,full_rebuild,cement,490829.3053293574,903363.8893503493,63807809.69281646,199276697.9637191
SFH,full_rebuild,steel,104115.30719107583,903363.8893503493,85374551.89668219,153986539.33560115
SFH,full_rebuild,sand,862669.688154628,903363.8893503493,15528054.386783306,19841402.827556446
SFH,full_rebuild,gravel,297472.30626021663,903363.8893503493,6544390.737724766,8329224.575286066
SFH,full_rebuild,stone,223104.22969516244,903363.8893503493,12493836.862929096,15840400.308356535
SFH,full_rebuild,wood,19335.699906914077,903363.8893503493,7540922.963696491,10750649.148244228
SFH,full_rebuild,glass,10411.53071910758,903363.8893503493,11973260.32697372,20208781.125787817
SFH,full_rebuild,aluminum,5949.446125204332,903363.8893503493,11006475.331628013,17247444.316967357
SFH,full_rebuild,gypsum,16360.976844311912,903363.8893503493,818048.8422155955,1096185.4485688983
SFH,full_rebuild,plastics,2974.723062602166,903363.8893503493,3569667.6751225996,4741708.561787853
SFH,partial_rebuild,cement,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,steel,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,sand,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,gravel,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,stone,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,wood,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,glass,0.0,1023984437.6761092,0.0,0.0
